user_id,username,customer_age,income,employment_status,housing_status,credit_risk_score,bank_months_count,has_other_cards,email_is_free,email,first_name,last_name,full_name
107,ayse0107,30,0.1,CE,BC,104,15,0,1,ayse.aydin@sandbox.opba.com,Ayşe,Aydın,Ayşe Aydın
108,i̇rem0108,20,0.4,CA,BC,192,22,1,0,irem.simsek@sandbox.opba.com,İrem,Şimşek,İrem Şimşek
109,kadir0109,30,0.5,CA,BB,29,1,1,1,kadir.simsek@sandbox.opba.com,Kadir,Şimşek,Kadir Şimşek
110,mehmet0110,30,0.9,CA,BA,103,22,0,0,mehmet.ozcan@sandbox.opba.com,Mehmet,Özcan,Mehmet Özcan
111,can0111,30,0.7000000000000001,CA,BC,139,15,0,0,can.yilmaz@sandbox.opba.com,Can,Yılmaz,Can Yılmaz
112,kerem0112,30,0.1,CB,BC,84,10,0,0,kerem.aydin@sandbox.opba.com,Kerem,Aydın,Kerem Aydın
113,kerem0113,40,0.9,CA,BD,191,6,1,1,kerem.cetin@sandbox.opba.com,Kerem,Çetin,Kerem Çetin
114,tugce0114,20,0.1,CD,BB,70,20,0,1,tugce.gunes@sandbox.opba.com,Tuğçe,Güneş,Tuğçe Güneş
115,i̇rem0115,50,0.7000000000000001,CC,BB,-51,28,0,0,irem.kurt@sandbox.opba.com,İrem,Kurt,İrem Kurt
116,yigit0116,40,0.9,CC,BB,39,5,0,1,yigit.dogan@sandbox.opba.com,Yiğit,Doğan,Yiğit Doğan
117,yigit0117,30,0.3,CE,BC,125,1,0,0,yigit.aksoy@sandbox.opba.com,Yiğit,Aksoy,Yiğit Aksoy
118,eda0118,20,0.9,CA,BE,110,-1,0,1,eda.cetin@sandbox.opba.com,Eda,Çetin,Eda Çetin
119,dilan0119,20,0.3,CA,BE,76,30,0,0,dilan.koc@sandbox.opba.com,Dilan,Koç,Dilan Koç
120,omer0120,20,0.1,CA,BC,190,21,0,0,omer.polat@sandbox.opba.com,Ömer,Polat,Ömer Polat
121,hakan0121,20,0.8,CA,BC,91,2,0,1,hakan.ozturk@sandbox.opba.com,Hakan,Öztürk,Hakan Öztürk
122,esra0122,40,0.8,CA,BB,106,-1,0,0,esra.kurt@sandbox.opba.com,Esra,Kurt,Esra Kurt
123,elif0123,50,0.5,CA,BB,229,-1,1,0,elif.kaya@sandbox.opba.com,Elif,Kaya,Elif Kaya
124,fatma0124,30,0.3,CA,BC,247,-1,0,1,fatma.ozturk@sandbox.opba.com,Fatma,Öztürk,Fatma Öztürk
125,gokhan0125,30,0.1,CF,BB,80,28,0,1,gokhan.polat@sandbox.opba.com,Gökhan,Polat,Gökhan Polat
126,volkan0126,30,0.7000000000000001,CA,BC,120,11,0,0,volkan.sari@sandbox.opba.com,Volkan,Sarı,Volkan Sarı
127,tugce0127,40,0.3,CF,BA,54,15,0,0,tugce.kilic@sandbox.opba.com,Tuğçe,Kılıç,Tuğçe Kılıç
128,ahmet0128,30,0.8,CB,BB,273,6,0,1,ahmet.kurt@sandbox.opba.com,Ahmet,Kurt,Ahmet Kurt
129,mehmet0129,40,0.7000000000000001,CA,BB,225,-1,1,1,mehmet.koc@sandbox.opba.com,Mehmet,Koç,Mehmet Koç
130,sena0130,10,0.6000000000000001,CA,BE,123,11,0,0,sena.dogan@sandbox.opba.com,Sena,Doğan,Sena Doğan
131,sila0131,20,0.7000000000000001,CE,BE,-45,31,0,0,sila.ozcan@sandbox.opba.com,Sıla,Özcan,Sıla Özcan
132,cenk0132,30,0.9,CA,BB,184,-1,0,1,cenk.ozdemir@sandbox.opba.com,Cenk,Özdemir,Cenk Özdemir
133,murat0133,30,0.2,CA,BC,94,10,0,1,murat.yildiz@sandbox.opba.com,Murat,Yıldız,Murat Yıldız
134,naz0134,10,0.6000000000000001,CA,BB,95,-1,0,0,naz.demir@sandbox.opba.com,Naz,Demir,Naz Demir
135,sena0135,40,0.5,CA,BB,93,-1,0,0,sena.kilic@sandbox.opba.com,Sena,Kılıç,Sena Kılıç
136,melike0136,40,0.2,CA,BB,43,31,0,1,melike.arslan@sandbox.opba.com,Melike,Arslan,Melike Arslan
137,mert0137,30,0.9,CA,BC,99,6,1,1,mert.koc@sandbox.opba.com,Mert,Koç,Mert Koç
138,kubra0138,20,0.8,CA,BB,184,1,1,1,kubra.yildirim@sandbox.opba.com,Kübra,Yıldırım,Kübra Yıldırım
139,zeynep0139,40,0.1,CA,BA,157,-1,0,0,zeynep.kaplan@sandbox.opba.com,Zeynep,Kaplan,Zeynep Kaplan
140,kadir0140,40,0.9,CA,BB,80,10,1,1,kadir.arslan@sandbox.opba.com,Kadir,Arslan,Kadir Arslan
141,burak0141,20,0.9,CB,BC,213,1,0,1,burak.ozcan@sandbox.opba.com,Burak,Özcan,Burak Özcan
142,dilan0142,30,0.4,CA,BB,51,30,1,1,dilan.aslan@sandbox.opba.com,Dilan,Aslan,Dilan Aslan
143,onur0143,50,0.6000000000000001,CD,BB,165,24,0,0,onur.kaya@sandbox.opba.com,Onur,Kaya,Onur Kaya
144,sila0144,40,0.9,CA,BB,148,-1,1,0,sila.ozkan@sandbox.opba.com,Sıla,Özkan,Sıla Özkan
145,omer0145,30,0.6000000000000001,CA,BC,130,-1,0,0,omer.kilic@sandbox.opba.com,Ömer,Kılıç,Ömer Kılıç
146,rabia0146,50,0.1,CB,BB,190,11,0,1,rabia.dogan@sandbox.opba.com,Rabia,Doğan,Rabia Doğan
147,tugce0147,50,0.1,CA,BC,35,-1,0,1,tugce.yilmaz@sandbox.opba.com,Tuğçe,Yılmaz,Tuğçe Yılmaz
148,dilan0148,20,0.6000000000000001,CA,BE,-7,28,0,1,dilan.kurt@sandbox.opba.com,Dilan,Kurt,Dilan Kurt
149,cenk0149,50,0.8,CB,BC,20,6,1,1,cenk.sari@sandbox.opba.com,Cenk,Sarı,Cenk Sarı
150,ayse0150,20,0.4,CA,BE,83,11,0,0,ayse.sari@sandbox.opba.com,Ayşe,Sarı,Ayşe Sarı
151,melike0151,50,0.8,CA,BA,194,10,1,0,melike.yildirim@sandbox.opba.com,Melike,Yıldırım,Melike Yıldırım
152,i̇lker0152,30,0.8,CA,BC,148,1,0,1,ilker.polat@sandbox.opba.com,İlker,Polat,İlker Polat
153,onur0153,30,0.1,CA,BC,81,21,0,1,onur.aksoy@sandbox.opba.com,Onur,Aksoy,Onur Aksoy
154,elif0154,20,0.8,CA,BC,213,28,0,0,elif.kurt@sandbox.opba.com,Elif,Kurt,Elif Kurt
155,onur0155,20,0.6000000000000001,CA,BE,87,1,0,1,onur.polat@sandbox.opba.com,Onur,Polat,Onur Polat
156,dilan0156,50,0.9,CA,BA,151,-1,0,1,dilan.sahin@sandbox.opba.com,Dilan,Şahin,Dilan Şahin
157,sena0157,30,0.1,CD,BB,58,28,0,1,sena.arslan@sandbox.opba.com,Sena,Arslan,Sena Arslan
158,hilal0158,50,0.9,CC,BA,318,-1,1,1,hilal.polat@sandbox.opba.com,Hilal,Polat,Hilal Polat
159,mert0159,20,0.9,CA,BC,195,1,0,1,mert.kara@sandbox.opba.com,Mert,Kara,Mert Kara
160,tugce0160,20,0.4,CA,BB,47,-1,0,0,tugce.gunes@sandbox.opba.com,Tuğçe,Güneş,Tuğçe Güneş
161,sila0161,30,0.4,CB,BC,210,28,0,1,sila.cetin@sandbox.opba.com,Sıla,Çetin,Sıla Çetin
162,deniz0162,20,0.8,CA,BB,35,15,0,1,deniz.arslan@sandbox.opba.com,Deniz,Arslan,Deniz Arslan
163,nisa0163,40,0.3,CA,BB,101,15,1,0,nisa.simsek@sandbox.opba.com,Nisa,Şimşek,Nisa Şimşek
164,murat0164,20,0.3,CA,BA,47,1,0,0,murat.yildiz@sandbox.opba.com,Murat,Yıldız,Murat Yıldız
165,onur0165,30,0.7000000000000001,CA,BC,54,10,0,0,onur.kaya@sandbox.opba.com,Onur,Kaya,Onur Kaya
166,zeynep0166,30,0.6000000000000001,CA,BC,194,-1,0,0,zeynep.arslan@sandbox.opba.com,Zeynep,Arslan,Zeynep Arslan
167,yigit0167,30,0.3,CB,BC,76,11,1,1,yigit.kaplan@sandbox.opba.com,Yiğit,Kaplan,Yiğit Kaplan
168,kadir0168,20,0.6000000000000001,CA,BE,88,1,0,0,kadir.kurt@sandbox.opba.com,Kadir,Kurt,Kadir Kurt
169,mehmet0169,20,0.7000000000000001,CB,BE,129,10,0,1,mehmet.bozkurt@sandbox.opba.com,Mehmet,Bozkurt,Mehmet Bozkurt
170,sila0170,30,0.9,CA,BE,246,30,0,0,sila.aydin@sandbox.opba.com,Sıla,Aydın,Sıla Aydın
171,eda0171,40,0.9,CB,BC,149,1,0,0,eda.cetin@sandbox.opba.com,Eda,Çetin,Eda Çetin
172,kerem0172,40,0.9,CF,BB,145,-1,0,1,kerem.yildirim@sandbox.opba.com,Kerem,Yıldırım,Kerem Yıldırım
173,oguz0173,10,0.4,CA,BB,70,2,0,1,oguz.eren@sandbox.opba.com,Oğuz,Eren,Oğuz Eren
174,rabia0174,30,0.9,CA,BC,176,1,0,1,rabia.aydin@sandbox.opba.com,Rabia,Aydın,Rabia Aydın
175,burak0175,30,0.9,CA,BA,163,2,0,0,burak.yilmaz@sandbox.opba.com,Burak,Yılmaz,Burak Yılmaz
176,leyla0176,10,0.4,CA,BA,28,-1,1,0,leyla.gunes@sandbox.opba.com,Leyla,Güneş,Leyla Güneş
177,nisa0177,20,0.6000000000000001,CA,BE,158,26,0,1,nisa.kilic@sandbox.opba.com,Nisa,Kılıç,Nisa Kılıç
178,tolga0178,40,0.9,CA,BC,50,25,0,0,tolga.yildirim@sandbox.opba.com,Tolga,Yıldırım,Tolga Yıldırım
179,oguz0179,30,0.6000000000000001,CA,BA,262,2,0,0,oguz.aslan@sandbox.opba.com,Oğuz,Aslan,Oğuz Aslan
180,kadir0180,20,0.9,CA,BC,61,1,1,0,kadir.cetin@sandbox.opba.com,Kadir,Çetin,Kadir Çetin
181,yigit0181,40,0.1,CA,BB,136,2,0,1,yigit.yildiz@sandbox.opba.com,Yiğit,Yıldız,Yiğit Yıldız
182,onur0182,40,0.9,CA,BA,221,-1,0,0,onur.eren@sandbox.opba.com,Onur,Eren,Onur Eren
183,mert0183,20,0.8,CB,BC,111,15,0,1,mert.ozdemir@sandbox.opba.com,Mert,Özdemir,Mert Özdemir
184,eda0184,50,0.2,CA,BB,44,15,0,1,eda.kurt@sandbox.opba.com,Eda,Kurt,Eda Kurt
185,eda0185,30,0.8,CF,BC,138,6,1,1,eda.kurt@sandbox.opba.com,Eda,Kurt,Eda Kurt
186,onur0186,50,0.4,CF,BC,27,31,0,0,onur.tas@sandbox.opba.com,Onur,Taş,Onur Taş
187,yasemin0187,30,0.1,CA,BB,142,5,0,1,yasemin.sahin@sandbox.opba.com,Yasemin,Şahin,Yasemin Şahin
188,hakan0188,30,0.6000000000000001,CA,BC,183,10,0,0,hakan.polat@sandbox.opba.com,Hakan,Polat,Hakan Polat
189,kadir0189,30,0.6000000000000001,CA,BE,130,1,0,0,kadir.kaplan@sandbox.opba.com,Kadir,Kaplan,Kadir Kaplan
190,can0190,30,0.1,CA,BB,93,1,0,1,can.ozcan@sandbox.opba.com,Can,Özcan,Can Özcan
191,esra0191,50,0.8,CA,BC,65,28,0,0,esra.sari@sandbox.opba.com,Esra,Sarı,Esra Sarı
192,emre0192,30,0.1,CA,BE,184,21,0,0,emre.aydin@sandbox.opba.com,Emre,Aydın,Emre Aydın
193,pinar0193,30,0.6000000000000001,CD,BC,72,-1,0,1,pinar.sahin@sandbox.opba.com,Pınar,Şahin,Pınar Şahin
194,naz0194,30,0.7000000000000001,CA,BC,169,-1,0,1,naz.demir@sandbox.opba.com,Naz,Demir,Naz Demir
195,omer0195,20,0.7000000000000001,CA,BC,101,31,1,0,omer.ozcan@sandbox.opba.com,Ömer,Özcan,Ömer Özcan
196,murat0196,50,0.7000000000000001,CB,BB,74,-1,0,1,murat.dogan@sandbox.opba.com,Murat,Doğan,Murat Doğan
197,tolga0197,50,0.7000000000000001,CA,BB,105,1,0,1,tolga.ozturk@sandbox.opba.com,Tolga,Öztürk,Tolga Öztürk
198,zeynep0198,40,0.8,CA,BA,316,25,0,1,zeynep.ozkan@sandbox.opba.com,Zeynep,Özkan,Zeynep Özkan
199,rabia0199,20,0.1,CA,BA,238,-1,1,0,rabia.sahin@sandbox.opba.com,Rabia,Şahin,Rabia Şahin
200,ayse0200,10,0.7000000000000001,CA,BE,152,-1,0,0,ayse.celik@sandbox.opba.com,Ayşe,Çelik,Ayşe Çelik
201,tugce0201,40,0.7000000000000001,CA,BA,115,-1,0,0,tugce.yilmaz@sandbox.opba.com,Tuğçe,Yılmaz,Tuğçe Yılmaz
202,sila0202,40,0.2,CC,BB,-15,5,0,0,sila.aslan@sandbox.opba.com,Sıla,Aslan,Sıla Aslan
203,ayse0203,30,0.7000000000000001,CA,BC,148,-1,0,1,ayse.arslan@sandbox.opba.com,Ayşe,Arslan,Ayşe Arslan
204,naz0204,20,0.2,CA,BE,49,1,0,0,naz.polat@sandbox.opba.com,Naz,Polat,Naz Polat
205,emre0205,30,0.3,CA,BC,100,20,0,1,emre.yilmaz@sandbox.opba.com,Emre,Yılmaz,Emre Yılmaz
206,elif0206,40,0.7000000000000001,CC,BB,194,11,1,1,elif.aksoy@sandbox.opba.com,Elif,Aksoy,Elif Aksoy
207,tugce0207,50,0.9,CA,BA,212,-1,0,0,tugce.kaplan@sandbox.opba.com,Tuğçe,Kaplan,Tuğçe Kaplan
208,mert0208,40,0.9,CB,BA,116,5,1,0,mert.ozcan@sandbox.opba.com,Mert,Özcan,Mert Özcan
209,yaren0209,30,0.9,CA,BC,100,11,0,1,yaren.ozdemir@sandbox.opba.com,Yaren,Özdemir,Yaren Özdemir
