_id,userId,bankName,cardNumber,cardHolderName,balance,currency,isActive,lastSyncedAt,createdAt,source,description
"{""$oid"": ""f8d7ca00463cc44b965aa29e""}","{""$oid"": ""0c916301de2484846800c3b5""}",Garanti Bankası,3320117941748386,Esra Koç,15799.72,EUR,True,"{""$date"": ""2025-12-22T12:12:54.699000Z""}","{""$date"": ""2025-12-25T08:07:54.699000Z""}",manuel,Banka Kartım
"{""$oid"": ""0c63c0d6c3828b44d4f3a97a""}","{""$oid"": ""0de88e6b73a2331c15626204""}",Akbank,2471521092482392,Deniz Yıldız,1656.87,EUR,False,"{""$date"": ""2025-12-23T20:34:54.699000Z""}","{""$date"": ""2025-12-25T08:04:54.699000Z""}",manuel,Fatura Hesabım
"{""$oid"": ""4411cb2acd6ffb54784aef37""}","{""$oid"": ""9ac19681c61f40aaa63d8082""}",İş Bankası,3925540017428327,Ceren Keskin,6643.18,USD,True,"{""$date"": ""2025-12-21T01:02:54.699000Z""}","{""$date"": ""2025-12-25T08:01:54.699000Z""}",mock,Günlük Harcamalar
"{""$oid"": ""4576fa6e23e50eee6a226a15""}","{""$oid"": ""64c72857f4de03894ccd35d8""}",Garanti Bankası,6777037202965078,Bahar Yıldız,11360.13,USD,True,"{""$date"": ""2025-12-21T10:33:54.699000Z""}","{""$date"": ""2025-12-25T07:58:54.699000Z""}",mock,Banka Kartım
"{""$oid"": ""d92820630f03857f4a9514de""}","{""$oid"": ""80d9a608496cab154b22286d""}",Akbank,6286502091944401,Hande Erdem,9347.23,TRY,True,"{""$date"": ""2025-12-20T07:09:54.699000Z""}","{""$date"": ""2025-12-25T07:55:54.699000Z""}",openbanking,Banka Kartım
"{""$oid"": ""bbfb1daddb0719cdcafc3a81""}","{""$oid"": ""18dc9e80d4f7459c743922db""}",İş Bankası,9576443299361102,Eren Yıldız,4756.85,TRY,True,"{""$date"": ""2025-12-21T23:19:54.699000Z""}","{""$date"": ""2025-12-25T07:52:54.699000Z""}",mock,Kredi Kartım
"{""$oid"": ""5d53ec8c04d222fe00ab3928""}","{""$oid"": ""fc8fa5ee2df6c07da7f39953""}",Garanti Bankası,5261333666673350,Fatma Şimşek,9958.29,USD,True,"{""$date"": ""2025-12-22T00:31:54.699000Z""}","{""$date"": ""2025-12-25T07:49:54.699000Z""}",manuel,Banka Kartım
"{""$oid"": ""125319753b85bcf7923d98c4""}","{""$oid"": ""c10c92fdb21a4596eaaf15db""}",Akbank,3623709305137150,Süleyman Öztürk,5805.78,TRY,True,"{""$date"": ""2025-12-22T15:11:54.699000Z""}","{""$date"": ""2025-12-25T07:46:54.699000Z""}",openbanking,Fatura Hesabım
"{""$oid"": ""70919dc0c12172605fbeeb54""}","{""$oid"": ""4107eb402f6ec92253540a81""}",İş Bankası,7143457803747172,Derya Yıldız,18477.59,EUR,True,"{""$date"": ""2025-12-23T21:17:54.699000Z""}","{""$date"": ""2025-12-25T07:43:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""507a57c23cc90b99b45cbfe1""}","{""$oid"": ""de2bcf9a6c467c47d7a2ef61""}",Garanti Bankası,4532247452951744,Nazlı Aydın,19285.77,EUR,True,"{""$date"": ""2025-12-21T17:58:54.699000Z""}","{""$date"": ""2025-12-25T07:40:54.699000Z""}",openbanking,Günlük Harcamalar
"{""$oid"": ""ab73c81a9a079913f5942f1a""}","{""$oid"": ""dbf39b26b3ee2f6e93300762""}",Akbank,2700259136033343,Tuğba Karaca,8905.59,TRY,True,"{""$date"": ""2025-12-23T03:37:54.699000Z""}","{""$date"": ""2025-12-25T07:37:54.699000Z""}",openbanking,Günlük Harcamalar
"{""$oid"": ""f2c3583083923821c8e9c43e""}","{""$oid"": ""6201c4fb8d057f1799edda4b""}",İş Bankası,8346010250744818,Onur Yalçın,5514.33,EUR,True,"{""$date"": ""2025-12-19T04:11:54.699000Z""}","{""$date"": ""2025-12-25T07:34:54.699000Z""}",openbanking,Biriktirme Hesabım
"{""$oid"": ""6de6f5074abd4d74c488194d""}","{""$oid"": ""398e689cc43790882a89f06e""}",Garanti Bankası,4532530440700173,Batuhan Karaca,9830.22,USD,False,"{""$date"": ""2025-12-22T23:37:54.699000Z""}","{""$date"": ""2025-12-25T07:31:54.699000Z""}",mock,Fatura Hesabım
"{""$oid"": ""4780c3d6823586f516c980d4""}","{""$oid"": ""5b534baf6cd728c89c70cae5""}",Akbank,1816906523620534,Hakan Kurt,8507.2,EUR,True,"{""$date"": ""2025-12-19T10:47:54.699000Z""}","{""$date"": ""2025-12-25T07:28:54.699000Z""}",manuel,Kredi Kartım
"{""$oid"": ""01a39fca1f4e2bcb6b3d6452""}","{""$oid"": ""6a65ee971e564e19e0c02b3d""}",İş Bankası,3150654128226934,Can Bulut,64.2,USD,True,"{""$date"": ""2025-12-21T17:02:54.699000Z""}","{""$date"": ""2025-12-25T07:25:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""654d30a53abe31da1fd21320""}","{""$oid"": ""4b86ebdff8953602ab2e6b4a""}",Garanti Bankası,1217872914003591,Yusuf Uçar,709.49,TRY,True,"{""$date"": ""2025-12-21T18:10:54.699000Z""}","{""$date"": ""2025-12-25T07:22:54.699000Z""}",openbanking,Maaş Kartım
"{""$oid"": ""d01c6c5c80265ae5039084b1""}","{""$oid"": ""ef7e33fba410b2048dcfd06d""}",Akbank,6591549050542401,Beyza Özdemir,1855.49,EUR,True,"{""$date"": ""2025-12-20T00:05:54.699000Z""}","{""$date"": ""2025-12-25T07:19:54.699000Z""}",manuel,Kredi Kartım
"{""$oid"": ""d17cb21a58e376cfcdcee817""}","{""$oid"": ""3453b2417e10989f8bf2e06a""}",İş Bankası,4204742047775351,Ayşe Uçar,262.5,USD,True,"{""$date"": ""2025-12-21T00:07:54.699000Z""}","{""$date"": ""2025-12-25T07:16:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""fd35072c30675586323033c0""}","{""$oid"": ""565d70edfb389535c545b073""}",Garanti Bankası,8541101624420080,Beyza Kurt,16710.38,TRY,True,"{""$date"": ""2025-12-24T09:54:54.699000Z""}","{""$date"": ""2025-12-25T07:13:54.699000Z""}",openbanking,Fatura Hesabım
"{""$oid"": ""9a77ea5f0a29720b36558819""}","{""$oid"": ""9c352bd52d0a3be05cbeb45c""}",Akbank,3615709200130503,Özge Şimşek,12208.37,EUR,True,"{""$date"": ""2025-12-20T07:39:54.699000Z""}","{""$date"": ""2025-12-25T07:10:54.699000Z""}",mock,Fatura Hesabım
"{""$oid"": ""a1baaba839538da1d577f6aa""}","{""$oid"": ""ec42c3b2f1af27aeacaf87c6""}",İş Bankası,1729244891697521,Eren Tekin,9721.82,EUR,True,"{""$date"": ""2025-12-19T05:45:54.699000Z""}","{""$date"": ""2025-12-25T07:07:54.699000Z""}",mock,Kredi Kartım
"{""$oid"": ""2dd4d141e40544c5e9258967""}","{""$oid"": ""eba447c97c67a0c900cbd378""}",Garanti Bankası,3009641020103267,Orhan Güneş,8764.91,USD,True,"{""$date"": ""2025-12-18T11:33:54.699000Z""}","{""$date"": ""2025-12-25T07:04:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""9b8c625112ca6d65c252b5a6""}","{""$oid"": ""1ea60e24254e512ad1d98f0f""}",Akbank,8515143404447304,Hülya Özdemir,11212.17,USD,True,"{""$date"": ""2025-12-24T12:22:54.699000Z""}","{""$date"": ""2025-12-25T07:01:54.699000Z""}",mock,Günlük Harcamalar
"{""$oid"": ""1074f08f8462c2f18376c16b""}","{""$oid"": ""71c1d758f44913363104af05""}",İş Bankası,2215441301051583,Sümeyye Kılıç,13152.52,EUR,True,"{""$date"": ""2025-12-25T03:37:54.699000Z""}","{""$date"": ""2025-12-25T06:58:54.699000Z""}",manuel,Kredi Kartım
"{""$oid"": ""b8ac40ba0daceb8d88d83b26""}","{""$oid"": ""4e615750e88a7055219dc83a""}",Garanti Bankası,7489294694253224,Özge Yalçın,10127.08,TRY,True,"{""$date"": ""2025-12-23T17:35:54.699000Z""}","{""$date"": ""2025-12-25T06:55:54.699000Z""}",openbanking,Günlük Harcamalar
"{""$oid"": ""5bd83a1ba2420ec3f2225fc7""}","{""$oid"": ""560b1e0c63b828d56be6856d""}",Akbank,7425424266958441,Özge Toprak,656.41,TRY,True,"{""$date"": ""2025-12-23T19:51:54.699000Z""}","{""$date"": ""2025-12-25T06:52:54.699000Z""}",openbanking,Biriktirme Hesabım
"{""$oid"": ""2a8cc0066c0f8fb5a8b011ab""}","{""$oid"": ""3e1e1fa13b5adfb3a41bce2a""}",İş Bankası,9390122531502083,Barış Koç,19162.85,EUR,True,"{""$date"": ""2025-12-18T21:53:54.699000Z""}","{""$date"": ""2025-12-25T06:49:54.699000Z""}",manuel,Fatura Hesabım
"{""$oid"": ""42746422607fb76eab19640e""}","{""$oid"": ""7eae0c70172c2315c2005dff""}",Garanti Bankası,1962840415056579,Tuğba Aydın,4577.86,TRY,True,"{""$date"": ""2025-12-22T20:02:54.699000Z""}","{""$date"": ""2025-12-25T06:46:54.699000Z""}",manuel,Kredi Kartım
"{""$oid"": ""85be09d9cd955c5af3c335be""}","{""$oid"": ""58b251c359c4fbb76f5e6443""}",Akbank,1324380519130185,Gamze Keskin,28.38,USD,True,"{""$date"": ""2025-12-22T00:35:54.699000Z""}","{""$date"": ""2025-12-25T06:43:54.699000Z""}",openbanking,Maaş Kartım
"{""$oid"": ""34780206488d8bd5311e847f""}","{""$oid"": ""b62b6d1621aed81b5ef9b711""}",İş Bankası,1491743303032193,Melis Yavuz,504.69,TRY,True,"{""$date"": ""2025-12-19T23:17:54.699000Z""}","{""$date"": ""2025-12-25T06:40:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""5bacb729ffc252db2d746b8a""}","{""$oid"": ""030e6e0b656e969bc0906be5""}",Garanti Bankası,1480271556454202,Sercan Uçar,2239.3,TRY,True,"{""$date"": ""2025-12-25T05:57:54.699000Z""}","{""$date"": ""2025-12-25T06:37:54.699000Z""}",openbanking,Fatura Hesabım
"{""$oid"": ""ef078e9645413a525e4ea3da""}","{""$oid"": ""395cc973064f095e52ab4471""}",Akbank,7561001417420158,Ayşe Güneş,4922.18,USD,True,"{""$date"": ""2025-12-21T04:28:54.699000Z""}","{""$date"": ""2025-12-25T06:34:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""f45c2518895e161738b14344""}","{""$oid"": ""a3d713a7af305efccf312c58""}",İş Bankası,2044331436011855,Furkan Kaplan,235.75,USD,True,"{""$date"": ""2025-12-22T23:25:54.699000Z""}","{""$date"": ""2025-12-25T06:31:54.699000Z""}",openbanking,Maaş Kartım
"{""$oid"": ""8c33bcbb469bfbecc5f5147b""}","{""$oid"": ""b4b5b1e37a599c1d6e0f5c7e""}",Garanti Bankası,1581428091512140,Şule Kaya,12551.17,TRY,True,"{""$date"": ""2025-12-19T01:11:54.699000Z""}","{""$date"": ""2025-12-25T06:28:54.699000Z""}",manuel,Günlük Harcamalar
"{""$oid"": ""b2e22b324668e40d21b6dc34""}","{""$oid"": ""dcd9b5f1415b272404765622""}",Akbank,5549851731733402,Rabia Yıldız,12705.76,USD,True,"{""$date"": ""2025-12-19T00:32:54.699000Z""}","{""$date"": ""2025-12-25T06:25:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""a596b4843eefccd1f9ad9c56""}","{""$oid"": ""d10e83240d479173cf7eff86""}",İş Bankası,5814809933816510,Beyza Polat,1271.45,USD,False,"{""$date"": ""2025-12-18T14:44:54.699000Z""}","{""$date"": ""2025-12-25T06:22:54.699000Z""}",openbanking,Maaş Kartım
"{""$oid"": ""d3d54145c8f89bd270142514""}","{""$oid"": ""ef536d38ded46204361b8247""}",Garanti Bankası,4805253487154825,Samet Erdoğan,256.02,TRY,True,"{""$date"": ""2025-12-21T18:55:54.699000Z""}","{""$date"": ""2025-12-25T06:19:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""337ed90ef818dd2f96b4493d""}","{""$oid"": ""4ef1d93732e689dd2d4d7d2a""}",Akbank,6559312597016001,Burak Güler,10720.05,USD,True,"{""$date"": ""2025-12-21T03:16:54.699000Z""}","{""$date"": ""2025-12-25T06:16:54.699000Z""}",mock,Banka Kartım
"{""$oid"": ""e2e6cb7e3171b272e04da9f2""}","{""$oid"": ""66d27677c70e1a4d43cebd5d""}",İş Bankası,1330452725209113,Arda Güler,17493.14,TRY,True,"{""$date"": ""2025-12-18T14:40:54.699000Z""}","{""$date"": ""2025-12-25T06:13:54.699000Z""}",openbanking,Banka Kartım
"{""$oid"": ""03113eb21f914e78b5eeaa0a""}","{""$oid"": ""75112c6dd35a0db2f5d8c512""}",Garanti Bankası,3420646955443343,Batuhan Ekinci,15621.97,USD,True,"{""$date"": ""2025-12-18T15:43:54.699000Z""}","{""$date"": ""2025-12-25T06:10:54.699000Z""}",manuel,Maaş Kartım
"{""$oid"": ""5a49c7cd5fa62acc4508a421""}","{""$oid"": ""1dca75cf82ceb498371147dc""}",Akbank,2254073339190242,Gamze Çelik,10772.08,TRY,True,"{""$date"": ""2025-12-21T01:54:54.699000Z""}","{""$date"": ""2025-12-25T06:07:54.699000Z""}",openbanking,Banka Kartım
"{""$oid"": ""84b234711a9360450503d879""}","{""$oid"": ""ca20c013fb6501d44ed50aac""}",İş Bankası,4482029644817420,Cem Uçar,8464.93,EUR,True,"{""$date"": ""2025-12-24T07:23:54.699000Z""}","{""$date"": ""2025-12-25T06:04:54.699000Z""}",manuel,Biriktirme Hesabım
"{""$oid"": ""a6b61586a902086833c19d99""}","{""$oid"": ""2f0705e7601f548b8be20a8d""}",Garanti Bankası,6968852823139444,Emre Demir,11831.6,EUR,True,"{""$date"": ""2025-12-21T12:07:54.699000Z""}","{""$date"": ""2025-12-25T06:01:54.699000Z""}",manuel,Biriktirme Hesabım
"{""$oid"": ""475ebaca36c180b72b091655""}","{""$oid"": ""7491f0b431e466076f93ce3d""}",Akbank,5306853123204312,Merve Demir,15340.24,EUR,True,"{""$date"": ""2025-12-24T10:13:54.699000Z""}","{""$date"": ""2025-12-25T05:58:54.699000Z""}",manuel,Maaş Kartım
"{""$oid"": ""f0b008e39edcbeff3f227f66""}","{""$oid"": ""db9b05fde7b0262683aabc6c""}",İş Bankası,4984515106561372,Ömer Doğan,2461.02,USD,True,"{""$date"": ""2025-12-23T14:50:54.699000Z""}","{""$date"": ""2025-12-25T05:55:54.699000Z""}",openbanking,Banka Kartım
"{""$oid"": ""d2ec3cd1f6443cad73a95a10""}","{""$oid"": ""0eff0798420a0da1dc37280d""}",Garanti Bankası,3773482418505582,Melis Şahin,10761.85,EUR,True,"{""$date"": ""2025-12-20T21:21:54.699000Z""}","{""$date"": ""2025-12-25T05:52:54.699000Z""}",mock,Günlük Harcamalar
"{""$oid"": ""e1eb62cc09f26eeeee32303d""}","{""$oid"": ""a1d6821e5b054b2617b0f72f""}",Akbank,2616157216901515,Oğuz Özdemir,2765.77,TRY,True,"{""$date"": ""2025-12-25T04:15:54.699000Z""}","{""$date"": ""2025-12-25T05:49:54.699000Z""}",openbanking,Biriktirme Hesabım
"{""$oid"": ""981a36ff7347ee8aaf7d4e2c""}","{""$oid"": ""dad139f5f7de5046526a7b75""}",İş Bankası,4854148207175337,Gizem Yavuz,15658.56,EUR,True,"{""$date"": ""2025-12-23T15:10:54.699000Z""}","{""$date"": ""2025-12-25T05:46:54.699000Z""}",manuel,Kredi Kartım
"{""$oid"": ""2597c78b793fb30fc4df32f5""}","{""$oid"": ""d23a67d9e45f27d643b300e8""}",Garanti Bankası,6910939623232859,Ayşe Çetin,10378.22,TRY,True,"{""$date"": ""2025-12-19T21:48:54.699000Z""}","{""$date"": ""2025-12-25T05:43:54.699000Z""}",manuel,Kredi Kartım
"{""$oid"": ""543a3c73ecb57189fc2d938e""}","{""$oid"": ""03417abafb31686758ac3c6c""}",Akbank,6035870520051099,Batuhan Kaya,7579.56,EUR,True,"{""$date"": ""2025-12-23T19:49:54.699000Z""}","{""$date"": ""2025-12-25T05:40:54.699000Z""}",openbanking,Maaş Kartım
"{""$oid"": ""32d43b50922957baa8eedb35""}","{""$oid"": ""63d03b567622646cff46aa01""}",İş Bankası,7312022425207439,Oğuz Kaya,8122.87,EUR,True,"{""$date"": ""2025-12-19T07:34:54.699000Z""}","{""$date"": ""2025-12-25T05:37:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""684bf0a1618e87f873585bac""}","{""$oid"": ""8bba129a76e3093dad11941e""}",Garanti Bankası,1099595045153231,Esra Bozkurt,1077.82,EUR,True,"{""$date"": ""2025-12-22T11:32:54.699000Z""}","{""$date"": ""2025-12-25T05:34:54.699000Z""}",openbanking,Biriktirme Hesabım
"{""$oid"": ""fd435ad732f808fd199a6d09""}","{""$oid"": ""3b1881558dfbcb861a394fe1""}",Akbank,4305355044434732,Ahmet Keskin,18737.09,TRY,True,"{""$date"": ""2025-12-22T07:30:54.699000Z""}","{""$date"": ""2025-12-25T05:31:54.699000Z""}",openbanking,Biriktirme Hesabım
"{""$oid"": ""e6ebf76e67f879864241d45c""}","{""$oid"": ""72319c93225f3f0ae9e05f44""}",İş Bankası,5724263110034569,Cem Kaya,6640.77,TRY,True,"{""$date"": ""2025-12-18T08:49:54.699000Z""}","{""$date"": ""2025-12-25T05:28:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""940ccc4667cb81fe310f3513""}","{""$oid"": ""045228d11d74c6f92bebd85a""}",Garanti Bankası,4532044251450382,Batuhan Öztürk,1435.9,TRY,True,"{""$date"": ""2025-12-21T06:43:54.699000Z""}","{""$date"": ""2025-12-25T05:25:54.699000Z""}",mock,Maaş Kartım
"{""$oid"": ""6b1cdd5046c0e7238b47e698""}","{""$oid"": ""4380c301f0efee07b9faf0e7""}",Akbank,4052122052499745,Esra Demir,15910.51,TRY,True,"{""$date"": ""2025-12-24T20:27:54.699000Z""}","{""$date"": ""2025-12-25T05:22:54.699000Z""}",manuel,Günlük Harcamalar
"{""$oid"": ""7c9499e1528cac9675b8dfe9""}","{""$oid"": ""a1ca60b4bf21944db35e52b1""}",İş Bankası,4004291755832284,Onur Özcan,19748.58,USD,True,"{""$date"": ""2025-12-20T22:42:54.699000Z""}","{""$date"": ""2025-12-25T05:19:54.699000Z""}",openbanking,Fatura Hesabım
"{""$oid"": ""1513c006b78f89a5e4aaa08c""}","{""$oid"": ""24052913a013d49519446516""}",Garanti Bankası,1613574470634931,Ebru Aksoy,1607.04,USD,True,"{""$date"": ""2025-12-19T21:13:54.699000Z""}","{""$date"": ""2025-12-25T05:16:54.699000Z""}",openbanking,Kredi Kartım
"{""$oid"": ""6a49c561313c4fc330ecc40a""}","{""$oid"": ""909c8724416f6d9384d2eedd""}",Akbank,5286063664077017,Beyza Çelik,9404.59,EUR,True,"{""$date"": ""2025-12-23T11:47:54.699000Z""}","{""$date"": ""2025-12-25T05:13:54.699000Z""}",manuel,Maaş Kartım
"{""$oid"": ""9c793e4010377339e706b43c""}","{""$oid"": ""c0f934ef5e3efc864e9770ba""}",İş Bankası,3207846353089904,Taha Yılmaz,4365.69,TRY,False,"{""$date"": ""2025-12-20T22:04:54.699000Z""}","{""$date"": ""2025-12-25T05:10:54.699000Z""}",manuel,Banka Kartım
"{""$oid"": ""ebb48419a84e8d8677d44531""}","{""$oid"": ""8ba3d9e8c4722bbb555cd833""}",Garanti Bankası,5480233444025450,Tolga Koç,487.31,TRY,True,"{""$date"": ""2025-12-24T12:48:54.699000Z""}","{""$date"": ""2025-12-25T05:07:54.699000Z""}",openbanking,Biriktirme Hesabım
"{""$oid"": ""8af48ca4323656c457dc646e""}","{""$oid"": ""8f5da17351d8853d1771b5e2""}",Akbank,1379486063233680,Şeyma Taş,2622.14,USD,True,"{""$date"": ""2025-12-20T10:54:54.699000Z""}","{""$date"": ""2025-12-25T05:04:54.699000Z""}",mock,Maaş Kartım
"{""$oid"": ""4b6a2a689010c1d61efd90a7""}","{""$oid"": ""87a47f8143abd411c100ae5e""}",İş Bankası,2405933352303903,Recep Kılıç,19508.12,TRY,True,"{""$date"": ""2025-12-23T00:24:54.699000Z""}","{""$date"": ""2025-12-25T05:01:54.699000Z""}",manuel,Günlük Harcamalar
"{""$oid"": ""55710f8d435ea21f588d1711""}","{""$oid"": ""4616aec9f7ecbc06edf6de29""}",Garanti Bankası,1032300408328247,Gamze Aydın,8424.76,TRY,False,"{""$date"": ""2025-12-24T08:09:54.699000Z""}","{""$date"": ""2025-12-25T04:58:54.699000Z""}",mock,Banka Kartım
"{""$oid"": ""b7c123f9f916ea22a793e6bf""}","{""$oid"": ""a7efa29b85f3b13bea969d4c""}",Akbank,2891339421217738,Burak Polat,6661.19,USD,True,"{""$date"": ""2025-12-20T14:03:54.699000Z""}","{""$date"": ""2025-12-25T04:55:54.699000Z""}",manuel,Banka Kartım
"{""$oid"": ""2cf53a83f836c7d17e7d3cf8""}","{""$oid"": ""bc6d892adab9bf09fc155ce9""}",İş Bankası,4630485101453314,Taha Tekin,19317.92,TRY,True,"{""$date"": ""2025-12-24T06:33:54.699000Z""}","{""$date"": ""2025-12-25T04:52:54.699000Z""}",openbanking,Fatura Hesabım
"{""$oid"": ""54976bfaf3f5c4eb76b41cf7""}","{""$oid"": ""cc529239e7420650631fdbc3""}",Garanti Bankası,4413540980735871,Kübra Şimşek,16783.37,EUR,True,"{""$date"": ""2025-12-22T14:03:54.699000Z""}","{""$date"": ""2025-12-25T04:49:54.699000Z""}",manuel,Biriktirme Hesabım
"{""$oid"": ""83fa96045ad7e79f1b8da03c""}","{""$oid"": ""f937afb03d65bf479e3314e9""}",Akbank,6423732263024180,Berk Çetin,411.01,USD,True,"{""$date"": ""2025-12-24T03:38:54.699000Z""}","{""$date"": ""2025-12-25T04:46:54.699000Z""}",manuel,Günlük Harcamalar
"{""$oid"": ""3aa60a83b255e43568be9aa2""}","{""$oid"": ""1ba7ae457b29aae842ff0ca7""}",İş Bankası,2810503414013346,Sümeyye Sarı,2283.15,EUR,True,"{""$date"": ""2025-12-23T05:48:54.699000Z""}","{""$date"": ""2025-12-25T04:43:54.699000Z""}",openbanking,Fatura Hesabım
"{""$oid"": ""f0994d5c497884d7f43b09a7""}","{""$oid"": ""d9d43e7bea63f1b6360efc86""}",Garanti Bankası,4531719632320343,Ceren Yalçın,5318.18,TRY,True,"{""$date"": ""2025-12-21T05:16:54.699000Z""}","{""$date"": ""2025-12-25T04:40:54.699000Z""}",mock,Kredi Kartım
"{""$oid"": ""a38d5385e28a95a6f2ff756f""}","{""$oid"": ""34a25da675ae4786278a5c6f""}",Akbank,7505122959260685,Beyza Arslan,17345.73,TRY,True,"{""$date"": ""2025-12-18T06:48:54.699000Z""}","{""$date"": ""2025-12-25T04:37:54.699000Z""}",manuel,Fatura Hesabım
"{""$oid"": ""f604bd67d97c57538896689d""}","{""$oid"": ""8adf9cb7606948485e34f873""}",İş Bankası,3208305793036985,Nazlı Şahin,12369.36,USD,True,"{""$date"": ""2025-12-18T20:01:54.699000Z""}","{""$date"": ""2025-12-25T04:34:54.699000Z""}",mock,Günlük Harcamalar
"{""$oid"": ""382967cda1b2bc33ce9b8289""}","{""$oid"": ""80b092b653690a1b0941f5d9""}",Garanti Bankası,4810059448492574,Melis Bayram,2381.0,TRY,True,"{""$date"": ""2025-12-23T06:35:54.699000Z""}","{""$date"": ""2025-12-25T04:31:54.699000Z""}",manuel,Banka Kartım
"{""$oid"": ""f3b65d1b37c4c36653bdb2b3""}","{""$oid"": ""33a7fa2069b3f44553bd4729""}",Akbank,9101210119540593,Aslı Toprak,18260.95,EUR,True,"{""$date"": ""2025-12-24T03:45:54.699000Z""}","{""$date"": ""2025-12-25T04:28:54.699000Z""}",mock,Biriktirme Hesabım
"{""$oid"": ""043c43be39b12b1a34d9a625""}","{""$oid"": ""281c0b39b799e091444f6181""}",İş Bankası,3204565850506056,Gökhan Şimşek,16161.11,TRY,True,"{""$date"": ""2025-12-21T09:44:54.699000Z""}","{""$date"": ""2025-12-25T04:25:54.699000Z""}",openbanking,Günlük Harcamalar
"{""$oid"": ""836ccde4d1da9817b92a2226""}","{""$oid"": ""f38f6eb23c77888777226fc9""}",Garanti Bankası,8534264354661299,Bahar Erdem,18189.56,TRY,True,"{""$date"": ""2025-12-18T10:57:54.699000Z""}","{""$date"": ""2025-12-25T04:22:54.699000Z""}",mock,Biriktirme Hesabım
